batch,loss,ACC
107,0.09507054090499878,0.9374999999999998
160,0.00032726922654546797,0.9791666666666666
213,0.0020814957097172737,0.9791666666666666
266,0.00021600723266601562,0.9708333333333332
319,1.369728446006775,0.4708333333333333
17,<<epoch || averaged loss>>,1.4708752653677948
1,0.052034951746463776,0.6166666666666665
54,0.04020114615559578,0.9541666666666666
107,0.009633850306272507,0.9625
160,0.005223989486694336,0.9541666666666666
213,0.002553849248215556,0.9875
266,0.00028498968458734453,0.975
319,0.0001800854952307418,0.9708333333333332
18,<<epoch || averaged loss>>,0.11011286212306004
1,0.00020925204444210976,0.9666666666666666
54,0.00020432472229003906,0.9708333333333332
107,0.0032907326240092516,0.9666666666666666
160,9.274482727050781e-05,0.975
213,8.916854858398438e-05,0.9749999999999999
266,0.00024549165391363204,0.9625000000000001
